11 0.023474178  -23.111558 -22.915761 -22.915761 -22.335314 -22.33524 -21.390466 -21.390466 -20.11535 -20.114838 -18.592031 -18.564108 -18.564108 -18.414585 -18.414585 -17.891853 -17.891783 -17.06579 -17.06579 -16.908054 -16.907965 -16.106061 -15.95263 -15.95263 -15.69494 -15.694404 -15.534951 -15.534874 -15.300034 -15.300034 -14.353093 -14.353093 -13.676131 -13.676131 -13.211439 -13.211085 -12.70264 -12.702595 -12.243762 -12.243724 -12.017769 -12.017769 -11.127117 -10.895418 -10.895418 -10.89445 -10.89445 -10.656843 -10.656668 -10.596604 -10.596604 -10.25448 -10.254468 -9.8616661 -9.5604184 -9.5604184 -8.9570407 -8.957003 -8.534487 -8.534487 -7.8006072 -7.800583 -7.4040903 -7.4038468 -7.3979441 -7.3979441 -6.9803046 -6.9803046 -6.767212 -6.6247768 -6.1912428 -5.957169 -5.957169 -5.7627719 -5.7627719 -5.2824586 -5.2824298 -4.2976258 -4.2976258 -4.2487899 -4.248687 -2.2597946 -2.2597946 -2.1318391 -2.0843518 -2.0839452 -1.9411936 -1.9411936 -1.8266069 -1.8262682 -0.38836385 -0.38836385 1.657617 1.657775 3.6524197 3.6524197 3.6731683 4.2861469
12 0.025821596  -23.099205 -22.903422 -22.903422 -22.323029 -22.322954 -21.378297 -21.378297 -20.103402 -20.102891 -18.681577 -18.552852 -18.552852 -18.503466 -18.503466 -17.978769 -17.978698 -17.148893 -17.148893 -16.91008 -16.909982 -15.998493 -15.846608 -15.846608 -15.750385 -15.749863 -15.435204 -15.435128 -15.23961 -15.23961 -14.420208 -14.420208 -13.628101 -13.628101 -13.133291 -13.132933 -12.764812 -12.764766 -12.22838 -12.228342 -11.948612 -11.948612 -11.11354 -10.952136 -10.952136 -10.881287 -10.881287 -10.604732 -10.604557 -10.583978 -10.583978 -10.246018 -10.246007 -9.8493639 -9.5310412 -9.5310412 -8.9973276 -8.9972896 -8.5203777 -8.5203777 -7.8028927 -7.8028695 -7.4407023 -7.4407023 -7.3918307 -7.3915871 -7.004567 -7.004567 -6.8163748 -6.6513868 -6.2590999 -6.0250271 -6.0250271 -5.7563056 -5.7563056 -5.3531125 -5.353082 -4.3789562 -4.3789562 -4.2766846 -4.2765739 -2.1789778 -2.1789778 -2.0648687 -2.0644719 -2.0557536 -1.8641293 -1.8641293 -1.7488472 -1.748509 -0.40794542 -0.40794542 1.6298166 1.6299739 3.6216756 3.6216756 3.6558957 4.2634337
13 0.028169014  -23.085676 -22.889908 -22.889908 -22.309575 -22.3095 -21.364971 -21.364971 -20.090322 -20.08981 -18.77181 -18.59305 -18.59305 -18.540542 -18.540542 -18.0664 -18.066329 -17.232541 -17.232541 -16.913532 -16.913424 -15.88855 -15.805346 -15.80484 -15.738288 -15.738288 -15.333628 -15.333552 -15.180874 -15.180874 -14.489181 -14.489181 -13.575489 -13.575489 -13.052332 -13.05197 -12.828973 -12.828926 -12.211476 -12.211438 -11.87754 -11.87754 -11.098704 -11.010684 -11.010684 -10.866917 -10.866917 -10.570158 -10.570158 -10.551792 -10.551617 -10.237179 -10.237169 -9.835903 -9.501995 -9.501995 -9.0392301 -9.039192 -8.5055896 -8.5055896 -7.8071859 -7.8071638 -7.4862722 -7.4862722 -7.378431 -7.3781872 -7.0318571 -7.0318571 -6.8697235 -6.6801959 -6.3303358 -6.0962304 -6.0962304 -5.7492917 -5.7492917 -5.4268243 -5.4267922 -4.4613561 -4.4613561 -4.3067283 -4.3066096 -2.0970556 -2.0970556 -2.0438343 -2.0434472 -1.9756075 -1.7829168 -1.7829168 -1.6673655 -1.6670274 -0.42904765 -0.42904765 1.5996745 1.5998311 3.5882911 3.5882911 3.6367667 4.2391947
14 0.030516432  -23.070971 -22.87522 -22.87522 -22.294954 -22.294879 -21.350491 -21.350491 -20.076109 -20.075597 -18.8624 -18.683007 -18.683007 -18.527183 -18.527183 -18.154429 -18.154358 -17.316507 -17.316507 -16.91884 -16.918718 -15.858968 -15.858479 -15.776572 -15.628009 -15.628009 -15.230569 -15.230494 -15.123962 -15.123962 -14.559603 -14.559603 -13.518408 -13.518408 -12.969018 -12.968653 -12.894752 -12.894704 -12.193034 -12.192996 -11.804999 -11.804999 -11.08262 -11.070776 -11.070776 -10.851356 -10.851356 -10.555145 -10.555145 -10.498447 -10.498271 -10.228126 -10.228117 -9.821287 -9.4734797 -9.4734797 -9.0823397 -9.0823016 -8.4902641 -8.4902641 -7.813722 -7.8137009 -7.5344995 -7.5344995 -7.3638987 -7.3636545 -7.0621839 -7.0621839 -6.9271337 -6.7111217 -6.4044836 -6.1703116 -6.1703116 -5.741749 -5.741749 -5.503112 -5.5030785 -4.544536 -4.544536 -4.338812 -4.3386851 -2.0213064 -2.0209295 -2.0142953 -2.0142953 -1.8918927 -1.6980425 -1.6980425 -1.5826467 -1.5823084 -0.45158274 -0.45158274 1.5672675 1.5674234 3.5523352 3.5523352 3.6157471 4.2133779
15 0.03286385  -23.055091 -22.859359 -22.859359 -22.279166 -22.279091 -21.334856 -21.334856 -20.060766 -20.060255 -18.953091 -18.773082 -18.773082 -18.512782 -18.512782 -18.24261 -18.242538 -17.400611 -17.400611 -16.926493 -16.926356 -15.910402 -15.909932 -15.662823 -15.516036 -15.516036 -15.126308 -15.126233 -15.068925 -15.068925 -14.631134 -14.631134 -13.457006 -13.457006 -12.961836 -12.961787 -12.883738 -12.88337 -12.173035 -12.172998 -11.731371 -11.731371 -11.13217 -11.13217 -11.0653 -10.834622 -10.834622 -10.538943 -10.538943 -10.445068 -10.44489 -10.219061 -10.219054 -9.8055198 -9.4456573 -9.4456573 -9.1262339 -9.1261961 -8.4745364 -8.4745364 -7.8227053 -7.8226852 -7.585245 -7.585245 -7.3482418 -7.3479974 -7.095529 -7.095529 -6.9884745 -6.7440777 -6.4811188 -6.2468468 -6.2468468 -5.7336982 -5.7336982 -5.5815501 -5.5815153 -4.6282683 -4.6282683 -4.3728263 -4.3726912 -1.99734 -1.9969733 -1.930901 -1.930901 -1.805061 -1.6099501 -1.6099501 -1.4951191 -1.4947804 -0.47545771 -0.47545771 1.5326763 1.5328314 3.5138792 3.5138792 3.5928068 4.1859107
16 0.035211268  -23.038036 -22.842325 -22.842325 -22.262211 -22.262136 -21.318067 -21.318067 -20.044295 -20.043783 -19.043684 -18.863077 -18.863077 -18.497346 -18.497346 -18.330751 -18.330679 -17.484707 -17.484707 -16.937037 -16.936881 -15.958805 -15.958358 -15.547512 -15.402581 -15.402581 -15.021075 -15.021001 -15.015747 -15.015747 -14.703488 -14.703488 -13.391468 -13.391468 -13.029962 -13.029912 -12.796823 -12.796453 -12.151458 -12.151421 -11.656984 -11.656984 -11.19466 -11.19466 -11.046758 -10.816735 -10.816735 -10.521554 -10.521554 -10.391977 -10.391799 -10.210237 -10.210231 -9.7886057 -9.4186657 -9.4186657 -9.1704649 -9.1704278 -8.4585311 -8.4585311 -7.8343106 -7.8342915 -7.6383835 -7.6383835 -7.3314692 -7.3312245 -7.1318493 -7.1318493 -7.0536089 -6.7789748 -6.5598584 -6.325454 -6.325454 -5.7251618 -5.7251618 -5.6617647 -5.661729 -4.7123703 -4.7123703 -4.4086623 -4.4085191 -1.971987 -1.9716307 -1.8470306 -1.8470306 -1.7155238 -1.5190423 -1.5190423 -1.4051596 -1.4048202 -0.50057482 -0.50057482 1.4959849 1.4961392 3.472996 3.472996 3.5679215 4.1567094
17 0.037558685  -23.019805 -22.824118 -22.824118 -22.244091 -22.244015 -21.300126 -21.300126 -20.026696 -20.026185 -19.134022 -18.952835 -18.952835 -18.480882 -18.480882 -18.4187 -18.418627 -17.568676 -17.568676 -16.951038 -16.950861 -16.00336 -16.002937 -15.430806 -15.287812 -15.287812 -14.964355 -14.964355 -14.915064 -14.91499 -14.776425 -14.776425 -13.32201 -13.32201 -13.098907 -13.098856 -12.708561 -12.708189 -12.128279 -12.128242 -11.582124 -11.582124 -11.25807 -11.25807 -11.027011 -10.797719 -10.797719 -10.502981 -10.502981 -10.339464 -10.339284 -10.201966 -10.201962 -9.7705495 -9.3926293 -9.3926293 -9.2145467 -9.2145105 -8.4423577 -8.4423577 -7.848684 -7.8486657 -7.6938014 -7.6938014 -7.3135903 -7.3133452 -7.1710789 -7.1710789 -7.1223944 -6.815721 -6.6403583 -6.4057909 -6.4057909 -5.7434282 -5.7433917 -5.7161642 -5.7161642 -4.7966925 -4.7966925 -4.4462125 -4.4460612 -1.9452962 -1.9449503 -1.7628074 -1.7628074 -1.6236546 -1.4256831 -1.4256831 -1.3130989 -1.3127585 -0.52683212 -0.52683212 1.4572803 1.4574337 3.4297597 3.4297597 3.5410725 4.1256876
18 0.039906103  -23.0004 -22.804738 -22.804738 -22.224805 -22.22473 -21.281034 -21.281034 -20.007973 -20.007461 -19.223981 -19.042231 -19.042231 -18.506333 -18.506259 -18.463399 -18.463399 -17.652418 -17.652418 -16.96905 -16.96885 -16.043302 -16.042905 -15.312843 -15.171871 -15.171871 -14.914639 -14.914639 -14.849742 -14.849742 -14.808444 -14.80837 -13.248869 -13.248869 -13.16848 -13.168428 -12.619203 -12.618828 -12.103473 -12.103435 -11.507046 -11.507046 -11.322248 -11.322248 -11.006078 -10.777602 -10.777602 -10.483227 -10.483227 -10.287786 -10.287604 -10.194636 -10.194635 -9.7513562 -9.3676687 -9.3676687 -9.2579394 -9.2579048 -8.426106 -8.426106 -7.8659439 -7.8659265 -7.7513949 -7.7513949 -7.2946151 -7.2943696 -7.2131309 -7.2131309 -7.1946834 -6.8542226 -6.7223101 -6.4875514 -6.4875514 -5.8262532 -5.826216 -5.7067315 -5.7067315 -4.8811105 -4.8811105 -4.485371 -4.4852117 -1.9173126 -1.916977 -1.6783286 -1.6783286 -1.5297915 -1.3302008 -1.3302008 -1.2192271 -1.2188854 -0.55412387 -0.55412387 1.416652 1.4168045 3.384245 3.384245 3.5122472 4.0927627
19 0.042253521  -22.979821 -22.784187 -22.784187 -22.204356 -22.20428 -21.260792 -21.260792 -19.988126 -19.987615 -19.313457 -19.131162 -19.131162 -18.59355 -18.593476 -18.444906 -18.444906 -17.735848 -17.735848 -16.991551 -16.991324 -16.077974 -16.077606 -15.193737 -15.054876 -15.054876 -14.923263 -14.923263 -14.866453 -14.866453 -14.701366 -14.701292 -13.238518 -13.238466 -13.172303 -13.172303 -12.528968 -12.528593 -12.07701 -12.076973 -11.431976 -11.431976 -11.387059 -11.387059 -10.983981 -10.756417 -10.756417 -10.462296 -10.462296 -10.237178 -10.236994 -10.188724 -10.188722 -9.7310312 -9.3439088 -9.3439088 -9.3000358 -9.3000031 -8.4098413 -8.4098413 -7.8861823 -7.8861657 -7.8110686 -7.8110686 -7.2745539 -7.274308 -7.2703235 -7.2578995 -7.2578995 -6.8943845 -6.8054384 -6.5704622 -6.5704622 -5.9099879 -5.9099501 -5.6968918 -5.6968918 -4.9655187 -4.9655187 -4.526034 -4.5258669 -1.8880777 -1.8877523 -1.5936715 -1.5936715 -1.4342409 -1.2328913 -1.2328913 -1.1237986 -1.1234555 -0.58234109 -0.58234109 1.3741911 1.3743427 3.3365267 3.3365267 3.4814397 4.0578612
20 0.044600939  -22.958068 -22.762465 -22.762465 -22.182743 -22.182667 -21.2394 -21.2394 -19.967159 -19.966647 -19.402367 -19.219545 -19.219545 -18.680269 -18.680195 -18.425414 -18.425414 -17.818894 -17.818894 -17.018881 -17.018627 -16.106886 -16.106547 -15.073586 -14.996836 -14.996836 -14.936926 -14.936926 -14.819638 -14.819638 -14.593967 -14.593893 -13.308881 -13.308829 -13.092577 -13.092577 -12.438055 -12.437678 -12.048859 -12.048821 -11.452384 -11.452384 -11.357121 -11.357121 -10.960745 -10.7342 -10.7342 -10.440191 -10.440191 -10.187853 -10.187667 -10.184801 -10.184795 -9.7095805 -9.34015 -9.3401199 -9.3214852 -9.3214852 -8.3936011 -8.3936011 -7.9094652 -7.9094494 -7.872733 -7.872733 -7.3491581 -7.3052616 -7.3052616 -7.2534179 -7.2531714 -6.9361109 -6.8894968 -6.6542795 -6.6542795 -5.9944108 -5.9943727 -5.686675 -5.686675 -5.0498263 -5.0498263 -4.5681001 -4.5679255 -1.8576294 -1.8573142 -1.5088978 -1.5088978 -1.3372796 -1.1340213 -1.1340213 -1.0270373 -1.0266924 -0.61137193 -0.61137193 1.3299904 1.3301411 3.2866797 3.2866797 3.44865 4.0209219
